index|id|category|city|area|market_name|market_address|shop|pay_list|zone|user|pay_tool
102|50008599|['餐飲']|新竹市|東區|['便當、自助餐店']|新竹市東　區關東里關東路１０２號１樓|一通餐飲商號|['街口支付', 'LINE PAY']|桃竹苗|蔡智雅|['行動支付']
103|50008603|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區光復路一段４１２號１樓|懷榮商行|['街口支付', 'LINE PAY']|桃竹苗|楊榮吉|['行動支付']
104|50008604|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區新興里南大路３９３號一樓|堉善餐飲店|['街口支付']|桃竹苗|廖子傑|['行動支付']
105|50008645|['餐飲']|新竹市|東區|['麵店、小吃店']|新竹市東　區建功里金城一路６７號|儒融文化麵坊|['台灣 PAY']|桃竹苗|翟保融|['行動支付']
106|50008736|['餐飲']|新竹市|東區|['麵店、小吃店']|新竹市東　區軍功里建新路９號１樓|夯格呂食品|['台灣 PAY', 'LINE PAY']|桃竹苗|郭振皓|['行動支付']
107|50008737|['餐飲']|新竹市|北區|['早餐店']|新竹市北　區光華里湳雅街３０號一樓|嘉潤商行|['一卡通', '愛金卡']|桃竹苗|張堂偉|['電子票證']
108|50008738|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區龍山里埔頂一路１７６號１樓|宸新商行|['台灣 PAY', 'LINE PAY', '街口支付']|桃竹苗|吳孟璇|['行動支付']
109|50008739|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區水田里中正路３８４號１樓|大好多茶飲專賣店|['台灣 PAY', '一卡通', 'LINE PAY', '街口支付']|桃竹苗|陳芝頤|['電子票證', '行動支付']
110|50008740|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區金山里金山街３７號１樓|一品多茶飲專賣店|['台灣 PAY', '一卡通', 'LINE PAY', '街口支付']|桃竹苗|陳芝頤|['電子票證', '行動支付']
111|50008741|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區關新里光復路一段３６２－１２號１樓|萌豆企業社|['LINE PAY']|桃竹苗|温庭慧|['行動支付']
112|50008742|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區新莊里光復路一段４４４號１樓|好客多茶飲專賣店|['台灣 PAY', '一卡通', 'LINE PAY', '街口支付']|桃竹苗|陳芝頤|['電子票證', '行動支付']
113|50008743|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區仁德里北大路２９９號１樓|錢多多茶飲專賣店|['台灣 PAY', '一卡通', 'LINE PAY', '街口支付']|桃竹苗|陳芝頤|['電子票證', '行動支付']
114|50008744|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區關東里光復路一段１７６－１號１樓|關東堂商行|['LINE PAY']|桃竹苗|蔡朋芳|['行動支付']
115|50008745|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區西門里仁化街５―２號１樓|玖陸捌企業社|['LINE PAY']|桃竹苗|莊恬晞|['行動支付']
116|50008748|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區水田里中正路２０６號一樓|茂昌賀商行|['LINE PAY']|桃竹苗|彭劉育|['行動支付']
117|50008749|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區寺前里南大路３８２號１樓|金錢多茶飲專賣店|['台灣 PAY', '一卡通', 'LINE PAY', '街口支付']|桃竹苗|陳芝頤|['電子票證', '行動支付']
118|50008750|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區中興里北門街９２號１樓|辰品商行|['街口支付', 'LINE PAY']|桃竹苗|魏辰翰|['行動支付']
